username,user_found,created_at,Labels,total_posts,
demontre05,TRUE,2009-03-21T00:54:48+00:00,reliable,5374,#N/A
peocomet,TRUE,2009-03-22T23:59:04+00:00,reliable,1641,#N/A
rgriercpa,TRUE,2009-03-23T00:12:58+00:00,reliable,36315,#N/A
KandyLime,TRUE,2009-03-25T01:34:24+00:00,reliable,9547,#N/A
lilgreendwarf,TRUE,2009-03-25T05:34:00+00:00,reliable,1607,#N/A
Hyrax_Whisperer,TRUE,2009-03-26T07:22:05+00:00,reliable,18149,#N/A
klewis341,TRUE,2009-03-28T19:29:59+00:00,reliable,3216,#N/A
Nevada2856,TRUE,2009-03-28T22:24:50+00:00,reliable,8518,#N/A
Quasi___,TRUE,2009-03-31T19:36:55+00:00,reliable,8103,#N/A
LifeOfLtaif,TRUE,2009-04-02T02:17:09+00:00,reliable,1347,#N/A
borisdortmund,TRUE,2009-04-03T02:26:30+00:00,reliable,1955,#N/A
stevenjchang,TRUE,2009-04-05T20:12:04+00:00,reliable,1361,#N/A
rpatrickchesnut,TRUE,2009-04-06T12:48:41+00:00,reliable,5678,#N/A
ravigan,TRUE,2009-04-06T23:01:32+00:00,reliable,2340,#N/A
Swede007,TRUE,2009-04-07T18:36:08+00:00,reliable,4252,#N/A
jenthehen555,TRUE,2009-04-08T01:31:14+00:00,reliable,11958,#N/A
okerri,TRUE,2009-04-08T15:11:38+00:00,reliable,675,#N/A
Tyler_Alexis_,TRUE,2009-04-12T18:41:54+00:00,reliable,5372,#N/A
Racheal_Vicari,TRUE,2009-04-13T19:14:59+00:00,reliable,2150,#N/A
heart2yah,TRUE,2009-04-15T21:27:38+00:00,reliable,2168,#N/A
truthswarrior,TRUE,2009-04-16T01:50:24+00:00,reliable,7828,#N/A
DoNnYxOx,TRUE,2009-04-16T13:14:57+00:00,reliable,8232,#N/A
MrSouthey,TRUE,2009-04-17T01:41:55+00:00,reliable,5658,#N/A
AndrewBushell,TRUE,2009-04-17T02:50:46+00:00,reliable,3239,#N/A
caltremble,TRUE,2009-04-17T11:09:25+00:00,reliable,2218,#N/A
Quidy,TRUE,2009-04-23T17:13:16+00:00,reliable,2108,#N/A
JessicaLynnParr,TRUE,2009-04-23T20:20:34+00:00,reliable,1388,#N/A
MoniRebirth,TRUE,2009-04-24T03:24:09+00:00,reliable,20983,#N/A
nncyhllrd,TRUE,2009-04-24T03:33:12+00:00,reliable,99286,#N/A
bigfanboi,TRUE,2009-04-25T07:52:10+00:00,reliable,9139,#N/A
NACHO1961,TRUE,2009-04-27T14:40:47+00:00,reliable,8402,#N/A
perikoko,TRUE,2009-04-28T03:21:18+00:00,reliable,51712,#N/A
vivekyadav101,TRUE,2009-04-29T11:42:18+00:00,reliable,2383,#N/A
Ka_verdugo,TRUE,2009-04-29T13:39:31+00:00,reliable,2709,#N/A
RichHargrave,TRUE,2009-04-30T16:18:39+00:00,reliable,5445,#N/A
apa24,TRUE,2009-05-01T18:08:05+00:00,reliable,3771,#N/A
MykeSatcher,TRUE,2009-05-04T21:13:44+00:00,reliable,2897,#N/A
tknoll209K,TRUE,2009-05-05T16:52:10+00:00,reliable,17467,#N/A
jhigtiger,TRUE,2009-05-06T02:39:38+00:00,reliable,2837,#N/A
katieLane1975,TRUE,2009-05-07T10:27:59+00:00,reliable,17028,#N/A
rrstar47,TRUE,2009-05-12T14:21:54+00:00,reliable,3193,#N/A
EliOberlander,TRUE,2009-05-23T18:05:04+00:00,reliable,6206,#N/A
FORCEDEXPOSURE,TRUE,2009-05-24T19:51:02+00:00,reliable,5484,#N/A
carolinehark,TRUE,2009-05-24T21:55:46+00:00,reliable,1137,#N/A
_Murrrdurrrth_,TRUE,2009-05-27T22:50:05+00:00,reliable,2487,#N/A
MatthewPadilla,TRUE,2009-05-28T22:19:45+00:00,reliable,4336,#N/A
mike_mcglynn,TRUE,2009-05-28T23:49:41+00:00,reliable,27384,#N/A
alexanaya,TRUE,2009-05-30T00:09:04+00:00,reliable,1465,#N/A
ZackBrown777,TRUE,2009-05-31T03:22:22+00:00,reliable,2308,#N/A
RobertStruck,TRUE,2009-06-01T18:29:05+00:00,reliable,1607,#N/A
Lillefyre,TRUE,2009-06-02T17:42:26+00:00,reliable,4078,#N/A
rberklich,TRUE,2009-06-04T12:18:05+00:00,reliable,1688,#N/A
ohpleasehon,TRUE,2009-06-07T13:25:30+00:00,reliable,2597,#N/A
kayleysusan,TRUE,2009-06-08T23:49:21+00:00,reliable,1229,#N/A
algedn,TRUE,2009-06-12T20:58:08+00:00,reliable,696,#N/A
pntitblk,TRUE,2009-06-13T03:47:28+00:00,reliable,4610,#N/A
SkeletalPumpkin,TRUE,2009-06-14T14:46:56+00:00,reliable,3064,#N/A
Pandoplemonade,TRUE,2009-06-16T03:11:16+00:00,reliable,5698,#N/A
Smartgarfunkel,TRUE,2009-06-17T18:23:37+00:00,reliable,2703,#N/A
nischtwitt,TRUE,2009-06-21T13:05:02+00:00,reliable,2003,#N/A
lilmissmoffatt,TRUE,2009-06-23T16:55:07+00:00,reliable,2819,#N/A
kkeilts,TRUE,2009-06-24T01:04:05+00:00,reliable,10180,#N/A
jenniferemills,TRUE,2009-06-26T14:23:48+00:00,reliable,3259,#N/A
bgodsey69,TRUE,2009-06-27T05:16:04+00:00,reliable,2390,#N/A
bogdadountyhunt,TRUE,2009-06-28T08:33:29+00:00,reliable,1221,#N/A
plamozak,TRUE,2009-06-30T07:17:57+00:00,reliable,19676,#N/A
simghita,TRUE,2009-07-02T07:08:24+00:00,reliable,6589,#N/A
Sammorriss,TRUE,2009-07-03T15:59:26+00:00,reliable,5700,#N/A
Thecindybkk,TRUE,2009-07-03T17:25:16+00:00,reliable,12990,#N/A
wangbin84,TRUE,2009-07-04T01:35:20+00:00,reliable,1612,#N/A
dashproblem,TRUE,2009-07-06T13:39:24+00:00,reliable,2618,#N/A
mwbopp,TRUE,2009-07-10T13:10:45+00:00,reliable,1611,#N/A
CrispBlair,TRUE,2009-07-11T20:36:56+00:00,reliable,943,#N/A
nomthewise,TRUE,2009-07-14T21:25:19+00:00,reliable,4776,#N/A
morgaman,TRUE,2009-07-15T19:25:50+00:00,reliable,4355,#N/A
amy_caraballo,TRUE,2009-07-16T12:39:17+00:00,reliable,2279,#N/A
insidiousballer,TRUE,2009-07-22T01:51:11+00:00,reliable,4398,#N/A
TaYousf,TRUE,2009-07-22T17:00:14+00:00,reliable,1437,#N/A
almonellis,TRUE,2009-07-26T16:41:41+00:00,reliable,2361,#N/A
Peter_Rinaldi,TRUE,2009-07-31T12:11:53+00:00,reliable,9150,#N/A
MzSlide,TRUE,2009-08-04T07:57:30+00:00,reliable,2512,#N/A
SlimDeGea,TRUE,2009-08-05T15:07:00+00:00,reliable,2671,#N/A
LindaRenton,TRUE,2009-08-07T22:41:07+00:00,reliable,4440,#N/A
Naoufalrhouda,TRUE,2009-08-09T21:39:48+00:00,reliable,1273,#N/A
andicoates,TRUE,2009-08-09T23:52:24+00:00,reliable,1320,#N/A
Kibbiesays,TRUE,2009-08-10T23:36:35+00:00,reliable,791,#N/A
Pae5496,TRUE,2009-08-13T01:14:54+00:00,reliable,2434,#N/A
phelesia,TRUE,2009-08-17T07:30:11+00:00,reliable,3458,#N/A
ShelseaGrin,TRUE,2009-08-19T18:42:36+00:00,reliable,4635,#N/A
PamSackman,TRUE,2009-08-23T21:46:53+00:00,reliable,2671,#N/A
Yoda1027,TRUE,2009-08-24T22:12:19+00:00,reliable,6601,#N/A
pradeep_jgd,TRUE,2009-08-25T12:41:46+00:00,reliable,5589,#N/A
ws121,TRUE,2009-08-27T18:52:20+00:00,reliable,12624,#N/A
lM0NSTR0SITYl,TRUE,2009-08-29T06:16:08+00:00,reliable,10989,#N/A
sociologistjosh,TRUE,2009-09-01T21:00:11+00:00,reliable,4380,#N/A
divomama,TRUE,2009-09-03T15:58:24+00:00,reliable,945,#N/A
MayuriSarkar,TRUE,2009-09-08T00:12:11+00:00,reliable,1446,#N/A
Trogotronic,TRUE,2009-09-08T04:36:23+00:00,reliable,3370,#N/A
simdude5150,TRUE,2009-09-15T17:06:45+00:00,reliable,2325,#N/A
imnotarguing,TRUE,2009-09-16T14:13:52+00:00,reliable,8262,#N/A
NicoletteZorn,TRUE,2009-09-16T18:51:42+00:00,reliable,2087,#N/A
donobeadle,TRUE,2009-09-16T18:58:13+00:00,reliable,2073,#N/A
SerenityMouse,TRUE,2009-09-17T16:59:41+00:00,reliable,6165,#N/A
drhknowles,TRUE,2009-09-19T01:16:56+00:00,reliable,4658,#N/A
dekeriverscp,TRUE,2009-09-21T05:07:07+00:00,reliable,11681,#N/A
schristovassili,TRUE,2009-09-21T13:45:24+00:00,reliable,536,#N/A
shegokarm,TRUE,2009-09-27T06:34:21+00:00,reliable,2933,#N/A
dannystreet,TRUE,2009-09-29T23:02:46+00:00,reliable,4287,#N/A
BrandiPreston,TRUE,2009-10-06T23:43:59+00:00,reliable,3780,#N/A
hasanar64,TRUE,2009-10-08T01:40:52+00:00,reliable,1094,#N/A
josephjomon,TRUE,2009-10-10T06:24:20+00:00,reliable,1431,#N/A
zenalpesh,TRUE,2009-10-13T10:23:51+00:00,reliable,2290,#N/A
johnniemikel,TRUE,2009-10-14T17:32:39+00:00,reliable,2900,#N/A
paultheother1,TRUE,2009-10-15T19:38:08+00:00,reliable,4946,#N/A
rakeephotofact,TRUE,2009-10-24T15:15:19+00:00,reliable,2093,#N/A
darkI0rd,TRUE,2009-11-04T12:42:45+00:00,reliable,6882,#N/A
Spence27,TRUE,2009-11-06T09:17:51+00:00,reliable,2945,#N/A
pulmo1,TRUE,2009-11-08T16:01:55+00:00,reliable,15241,#N/A
RealtorPalmBch,TRUE,2009-11-13T17:59:45+00:00,reliable,3109,#N/A
sofiabelmar,TRUE,2009-11-20T18:16:57+00:00,reliable,2753,#N/A
TonyDoernbach,TRUE,2009-11-21T21:27:48+00:00,reliable,2196,#N/A
SidmanZ,TRUE,2009-11-26T07:24:43+00:00,reliable,656,#N/A
Captain_Kevin,TRUE,2009-12-03T07:57:12+00:00,reliable,10932,#N/A
TheBough,TRUE,2009-12-10T03:26:48+00:00,reliable,2533,#N/A
peytonritchie5,TRUE,2009-12-12T21:27:06+00:00,reliable,18798,#N/A
SMuCKAZZZ,TRUE,2009-12-15T22:18:44+00:00,reliable,7711,#N/A
_98ae,TRUE,2009-12-24T01:20:04+00:00,reliable,2642,#N/A
doloresgrana,TRUE,2009-12-27T21:35:41+00:00,reliable,3305,#N/A
Ftunes,TRUE,2009-12-28T23:08:54+00:00,reliable,3848,#N/A
Udit_Mishra24,TRUE,2010-01-05T17:09:38+00:00,reliable,4516,#N/A
chino_mateo,TRUE,2010-01-17T19:55:54+00:00,reliable,3327,#N/A
lazygourmet09,TRUE,2010-01-20T15:11:40+00:00,reliable,3454,#N/A
Blodia666,TRUE,2010-01-24T23:24:29+00:00,reliable,3396,#N/A
davidthehonkey,TRUE,2010-01-26T23:09:26+00:00,reliable,3846,#N/A
TMTFactory,TRUE,2010-02-02T08:23:09+00:00,reliable,569,#N/A
caseyRCL,TRUE,2010-02-02T23:32:16+00:00,reliable,2462,#N/A
gburgtv,TRUE,2010-02-04T02:48:06+00:00,reliable,1679,#N/A
cameronwyllie,TRUE,2010-02-11T23:46:30+00:00,reliable,7015,#N/A
pierreikonnikov,TRUE,2010-02-12T17:17:23+00:00,reliable,3425,#N/A
Zvezda73,TRUE,2010-02-22T01:36:59+00:00,reliable,21444,#N/A
suswhitaker,TRUE,2010-03-02T15:20:24+00:00,reliable,837,#N/A
dollar_billiam,TRUE,2010-03-02T17:32:49+00:00,reliable,1672,#N/A
Greenwood19,TRUE,2010-03-13T05:49:34+00:00,reliable,16786,#N/A
gizmopusskin,TRUE,2010-03-20T04:23:20+00:00,reliable,3046,#N/A
dabinlee,TRUE,2010-03-20T13:28:41+00:00,reliable,3702,#N/A
MattJHurley,TRUE,2010-03-26T19:39:15+00:00,reliable,2832,#N/A
lisalawler,TRUE,2010-03-28T15:38:23+00:00,reliable,1663,#N/A
LeSuavePanda,TRUE,2010-03-29T03:16:02+00:00,reliable,2703,#N/A
tjecco,TRUE,2010-03-31T07:35:57+00:00,reliable,5637,#N/A
Valentine_Rlhe,TRUE,2010-04-02T14:32:23+00:00,reliable,2687,#N/A
lorken23,TRUE,2010-04-05T04:18:34+00:00,reliable,16756,#N/A
MathematicsB,TRUE,2010-04-06T19:53:45+00:00,reliable,2538,#N/A
Tralchemist,TRUE,2010-04-07T17:01:38+00:00,reliable,20180,#N/A
Me_kkooyy,TRUE,2010-04-10T10:27:31+00:00,reliable,4905,#N/A
samya68,TRUE,2010-04-10T21:40:11+00:00,reliable,43896,#N/A
Feemy82,TRUE,2010-04-11T19:42:47+00:00,reliable,35303,#N/A
aelyrian,TRUE,2010-04-12T17:31:39+00:00,reliable,145700,#N/A
elisaaquinorain,TRUE,2010-04-15T13:02:35+00:00,reliable,2559,#N/A
ibmarkan,TRUE,2010-04-18T10:58:48+00:00,reliable,2714,#N/A
NorWestIslander,TRUE,2010-04-23T18:34:37+00:00,reliable,19911,#N/A
savagecatfish47,TRUE,2010-04-25T06:55:36+00:00,reliable,2223,#N/A
herbiverson,TRUE,2010-05-05T14:51:44+00:00,reliable,2100,#N/A
casshall,TRUE,2010-05-08T03:13:56+00:00,reliable,1633,#N/A
mikforty2,TRUE,2010-05-09T11:11:15+00:00,reliable,781,#N/A
Robson200171,TRUE,2010-05-09T14:32:33+00:00,reliable,1614,#N/A
umerjawaed,TRUE,2010-05-17T23:35:48+00:00,reliable,1711,#N/A
smwone,TRUE,2010-05-19T11:01:31+00:00,reliable,2607,#N/A
salihudin,TRUE,2010-05-22T04:16:58+00:00,reliable,19328,#N/A
rfpeterson,TRUE,2010-05-25T17:32:46+00:00,reliable,2069,#N/A
muleplus4T,TRUE,2010-05-26T23:28:00+00:00,reliable,32409,#N/A
chrixm,TRUE,2010-05-29T21:28:11+00:00,reliable,1544,#N/A
Ninjarale,TRUE,2010-05-30T08:16:38+00:00,reliable,47051,#N/A
rocksolid81,TRUE,2010-06-04T07:56:43+00:00,reliable,2636,#N/A
kopiyojek,TRUE,2010-06-11T16:59:30+00:00,reliable,5658,#N/A
LonglostLA,TRUE,2010-06-11T17:07:28+00:00,reliable,1750,#N/A
BenKochInc,TRUE,2010-06-17T03:54:01+00:00,reliable,2350,#N/A
jedthejet13,TRUE,2010-06-18T00:56:10+00:00,reliable,3159,#N/A
valmki25,TRUE,2010-06-22T21:47:30+00:00,reliable,8249,#N/A
quitvic,TRUE,2010-06-25T05:39:17+00:00,reliable,3172,#N/A
mandymld,TRUE,2010-06-29T16:47:37+00:00,reliable,5250,#N/A
intelligentpw,TRUE,2010-07-06T04:47:46+00:00,reliable,2930,#N/A
quelseydilla,TRUE,2010-07-06T21:05:22+00:00,reliable,5032,#N/A
nopantsgomez,TRUE,2010-07-10T04:26:41+00:00,reliable,8099,#N/A
Mdouglasrealty,TRUE,2010-07-11T13:09:07+00:00,reliable,2059,#N/A
TheBosma,TRUE,2010-07-16T16:18:22+00:00,reliable,5880,#N/A
DanielleCatlin,TRUE,2010-07-22T01:24:10+00:00,reliable,4304,#N/A
Lord_NAP,TRUE,2010-07-22T03:21:01+00:00,reliable,3586,#N/A
Brady_Kaiser,TRUE,2010-07-25T01:44:14+00:00,reliable,3218,#N/A
TallDudeAbides,TRUE,2010-07-27T06:30:12+00:00,reliable,5944,#N/A
majortom0508,TRUE,2010-07-29T00:44:36+00:00,reliable,982,#N/A
anildhulipala,TRUE,2010-08-01T10:00:52+00:00,reliable,8539,#N/A
hebertfajardo,TRUE,2010-08-06T19:38:00+00:00,reliable,3131,#N/A
mr_wook,TRUE,2010-08-10T18:22:27+00:00,reliable,31295,#N/A
oatoat_16,TRUE,2010-08-14T04:49:24+00:00,reliable,2906,#N/A
DACCOLADES,TRUE,2010-08-15T07:44:58+00:00,reliable,6537,#N/A
sdttoday,TRUE,2010-08-15T12:37:03+00:00,reliable,3132,#N/A
shugeldiva,TRUE,2010-08-16T20:33:13+00:00,reliable,2980,#N/A
Imadgrad,TRUE,2010-08-17T03:06:01+00:00,reliable,1936,#N/A
odadave,TRUE,2010-08-17T20:36:07+00:00,reliable,7663,#N/A
SVTdrvr,TRUE,2010-08-23T03:14:32+00:00,reliable,5497,#N/A
RCubriel,TRUE,2010-08-25T11:55:01+00:00,reliable,2975,#N/A
ArevRasec,TRUE,2010-08-27T21:53:19+00:00,reliable,2393,#N/A
villager4ever,TRUE,2010-08-31T20:53:02+00:00,reliable,3247,#N/A
Cleoxus,TRUE,2010-09-01T17:03:38+00:00,reliable,1475,#N/A
RPRains,TRUE,2010-09-03T13:50:34+00:00,reliable,4698,#N/A
sugaina28,TRUE,2010-09-04T06:17:46+00:00,reliable,5566,#N/A
erinjenson,TRUE,2010-09-04T06:46:54+00:00,reliable,12798,#N/A
PhilYoung101,TRUE,2010-09-07T03:05:53+00:00,reliable,5892,#N/A
Nessaaa13,TRUE,2010-09-09T04:15:08+00:00,reliable,1771,#N/A
Casandra13,TRUE,2010-09-11T14:41:37+00:00,reliable,,#N/A
yawbarima82,TRUE,2010-09-18T20:37:48+00:00,reliable,3920,#N/A
pwonacott,TRUE,2010-09-22T13:31:46+00:00,reliable,2581,#N/A
ms_deexa,TRUE,2010-09-25T19:02:27+00:00,reliable,1042,#N/A
nomorecheezcake,TRUE,2010-09-27T14:55:52+00:00,reliable,4605,#N/A
Briellejoy,TRUE,2010-09-28T00:52:40+00:00,reliable,643,#N/A
nymattregan,TRUE,2010-09-30T04:32:11+00:00,reliable,19032,#N/A
jimis78,TRUE,2010-09-30T06:16:26+00:00,reliable,1767,#N/A
amran_abocar,TRUE,2010-09-30T10:28:44+00:00,reliable,2093,#N/A
Mott_Memo,TRUE,2010-10-02T13:29:22+00:00,reliable,23171,#N/A
Smeckle5000,TRUE,2010-10-07T16:57:36+00:00,reliable,623,#N/A
flamingmonkeys1,TRUE,2010-10-11T20:38:02+00:00,reliable,6880,#N/A
RemyBlaireNews,TRUE,2010-10-12T20:51:08+00:00,reliable,3409,#N/A
manueldesigner_,TRUE,2010-10-14T18:20:55+00:00,reliable,6030,#N/A
thepuyalluppost,TRUE,2010-10-23T01:14:40+00:00,reliable,1583,#N/A
SimonJMar,TRUE,2010-10-25T07:07:55+00:00,reliable,2666,#N/A
tobeykai,TRUE,2010-10-29T19:16:43+00:00,reliable,3326,#N/A
frankjacobellis,TRUE,2010-10-30T04:49:33+00:00,reliable,643,#N/A
AnthonyCharette,TRUE,2010-10-31T17:06:49+00:00,reliable,619,#N/A
Berhanubt,TRUE,2010-11-05T15:29:27+00:00,reliable,10604,#N/A
ChrisRocaFella,TRUE,2010-11-09T09:58:37+00:00,reliable,8255,#N/A
MatthewNotch,TRUE,2010-11-10T18:50:25+00:00,reliable,1515,#N/A
j_issachar,TRUE,2010-11-14T01:41:03+00:00,reliable,4318,#N/A
Mongol_Hu,TRUE,2010-11-19T11:47:36+00:00,reliable,26932,#N/A
carlajh,TRUE,2010-11-19T17:08:36+00:00,reliable,3485,#N/A
TayMcG24,TRUE,2010-11-28T17:35:36+00:00,reliable,8351,#N/A
paraguanera67,TRUE,2010-12-02T20:15:44+00:00,reliable,1586,#N/A
sdshwbb,TRUE,2010-12-03T06:38:39+00:00,reliable,7452,#N/A
Patrickw82,TRUE,2010-12-03T14:21:55+00:00,reliable,1531,#N/A
HUBERTBOT,TRUE,2010-12-07T03:36:30+00:00,reliable,1733,#N/A
shellybear389,TRUE,2010-12-12T03:05:06+00:00,reliable,10662,#N/A
wonderdog247,TRUE,2010-12-16T21:44:32+00:00,reliable,8769,#N/A
muaznotiar,TRUE,2010-12-21T20:12:23+00:00,reliable,1070,#N/A
rgriggs98,TRUE,2010-12-22T19:51:51+00:00,reliable,2894,#N/A
PipBarry,TRUE,2010-12-24T08:51:27+00:00,reliable,612,#N/A
SLMBDN,TRUE,2010-12-26T17:16:15+00:00,reliable,1390,#N/A
bachlives,TRUE,2011-01-01T15:50:50+00:00,reliable,12182,#N/A
mattela501,TRUE,2011-01-02T18:19:38+00:00,reliable,1187,#N/A
wlecon,TRUE,2011-01-03T06:00:02+00:00,reliable,1233,#N/A
Wildeman44,TRUE,2011-01-04T15:11:09+00:00,reliable,2934,#N/A
dirtycrates,TRUE,2011-01-05T03:55:23+00:00,reliable,3661,#N/A
SkyWalkaWalka,TRUE,2011-01-06T20:43:07+00:00,reliable,5636,#N/A
Mixedstallion,TRUE,2011-01-07T16:51:23+00:00,reliable,6176,#N/A
joycemyrus,TRUE,2011-01-12T02:24:22+00:00,reliable,10209,#N/A
blah_humbug,TRUE,2011-01-13T10:58:28+00:00,reliable,8614,#N/A
njayro,TRUE,2011-01-18T02:30:30+00:00,reliable,8705,#N/A
stephaniescp,TRUE,2011-01-21T06:58:09+00:00,reliable,3631,#N/A
moneymakersites,TRUE,2011-01-24T03:58:52+00:00,reliable,1957,#N/A
Kharisssmaaa,TRUE,2011-01-25T08:37:37+00:00,reliable,17947,#N/A
dkirsch,TRUE,2011-01-25T21:42:12+00:00,reliable,1663,#N/A
madragna,TRUE,2011-01-28T08:32:35+00:00,reliable,2533,#N/A
NickTapscott,TRUE,2011-01-29T05:53:25+00:00,reliable,2667,#N/A
Emazdash,TRUE,2011-01-31T00:05:50+00:00,reliable,3293,#N/A
JohnMClearman,TRUE,2011-02-04T03:01:07+00:00,reliable,2918,#N/A
IndigoSharpe,TRUE,2011-02-09T02:24:39+00:00,reliable,6622,#N/A
TheDrake4,TRUE,2011-02-09T23:25:28+00:00,reliable,1592,#N/A
mbo7001,TRUE,2011-02-10T19:57:46+00:00,reliable,2946,#N/A
kevinmroland,TRUE,2011-02-12T21:30:00+00:00,reliable,2788,#N/A
malcomkelley,TRUE,2011-02-17T21:55:10+00:00,reliable,5603,#N/A
Media_Hunt,TRUE,2011-02-18T00:46:45+00:00,reliable,791,#N/A
kykim_123,TRUE,2011-02-18T02:10:05+00:00,reliable,934,#N/A
JEBHINOJOSA,TRUE,2011-02-19T14:28:28+00:00,reliable,7982,#N/A
SSchiefelbein,TRUE,2011-02-25T03:05:50+00:00,reliable,1885,#N/A
Yakky666,TRUE,2011-02-26T15:32:01+00:00,reliable,4106,#N/A
Trav119,TRUE,2011-02-27T21:56:34+00:00,reliable,3722,#N/A
teamfashola,TRUE,2011-02-28T13:44:24+00:00,reliable,3348,#N/A
Matviw,TRUE,2011-03-01T06:10:41+00:00,reliable,11151,#N/A
_urgeoverkill,TRUE,2011-03-01T18:01:28+00:00,reliable,998,#N/A
TerriLankford,TRUE,2011-03-03T17:25:36+00:00,reliable,4754,#N/A
jdodd37,TRUE,2011-03-03T22:15:58+00:00,reliable,612,#N/A
Islanderpei,TRUE,2011-03-05T20:34:05+00:00,reliable,2399,#N/A
VRoa1001,TRUE,2011-03-05T21:41:13+00:00,reliable,14960,#N/A
