username,label,HU_TweetNum,HU_TweetPercent_Original,HU_TweetPercent_Retweet,HU_AverageInterval_days,U_AccountAge_days,U_ListedNum,U_ProfileUrl,U_FollowerNumDay,U_FolloweeNumDay,U_TweetNumDay,U_ListedNumDay,total_posts,followers_count,following_count,verified,posting_frequency,aggr_text,retweet_count,follower_to_followee_ratio,retweet_ratio,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
63,reliable,50,0.08,0.92,4.141557776,4664.956939,1,0,0.016934776,0.2632393,0.086817522,0.000214364,402,82,1225,0,31.72540541,usr car ashtray cigarettes view way warn passengers customer service solution resolution 250 ride absolute shame url usr helping support seems ktn barcoding passes please help precheck usr need help cancelling booking made error usr disappointed fb following eu law requiring 75 refund involuntary downgrade usr question booking premium economy points upgrading business cash particular flight checked usr sought cap number medical school graduates apprenticing residents u teaching hospitals balanced budget act established limits reimbursements effectively fixing number funded residents 1996 levels url usr 2 months without hot water due company hiring horrible contractors commit insurance fraud disabled mother even thanksgiving shameful,335,0.066938776,0.833333333,102,91.24,72.17,14.7,5.16,102,45.1,66.67,2.94,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0.98,6.86,2.94,0.98,0,3.92,0,7.84,2.94,4.9,2.94,0,0.98,6.86,0.98,0,0.98,0,10.78,5.88,2.94,0.98,1.96,1.96,0.98,2.94,1.96,0,0.98,3.92,0,2.94,0,1.96,11.76,2.94,1.96,7.84,0,0.98,2.94,4.9,0,8.82,4.9,1.96,1.96,13.73,1.96,1.96,8.82,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,reliable,50,0,1,16.70498228,4644.92702,0,0,0.006889236,0.035522625,0.080087372,0,372,32,165,0,29.48534202,nowivote usr emily martz usr upstate ny join url call action upstate new york url url usr usr usr usr usr usr nowivote shareyourflame standyoursacredground url nowivote campaignlife shareyourflame standyoursacredground url nowivote shareyourflame standyoursacredground campaignlife url url stand danfeehan nowivote standyoursacredground shareyourflame usr thank good luck stand standyoursacredground shareyourflame nowivote stepping help planned parenthood action fund hold touch lawmakers accountable stand us shareyourflame standyoursacredground nowivote url shareyourflame standyoursacredground url usr usr usr usr usr usr usr usr usr usr thank usr usr usr usr grave concerns regarding current nys senate learned first hand nys senate equipped handle misconduct amongst outside individuals sexual harassment rape domestic violence url usr usr url trust senators 2 enact change recognize problem discuss issue memos handle regulate usr usr usr usr usr usr ty usr usr usr proud personally support emily martz usr state senate 45th district listens cares something support usr shareyourflame standyoursacredground usr usr usr usr usr usr anyone north heading tomorrow could possibly use ride n queensbury area url usr usr usr usr usr usr usr usr shareyourflame standyoursacredground thank usr emily martz taking time busy schedule election season sit listen help stand grateful usr emily martz time support help proud support usr state senate check url going record usr usr usr usr usr usr usr usr wondering usr still issued statement abuser robert nickol wondering usr issued statement called back wondering usr office contacted back usr usr shareyourflame thank linzylab stand stand every song rings true louder shareyourflame domestic violence victim today domestic violence survior enact change voices much louder together shareyourflame joinus url shareyourflame iamback url proud personally support emily martz state senate 45th district believe emily martz would listen constituents needs experiences would use knowledge help form legislation would actually help everyone martzforcongress,339,0.193939394,0.911290323,294,89.92,74.11,5.17,85.33,294,32.65,44.22,5.1,1.36,0.34,0,0.34,0,0,0,1.02,0,1.02,1.36,1.36,0,0,11.56,1.7,0.68,0,1.36,0.68,9.52,6.46,3.06,0,1.02,0.34,6.46,0.34,0,0,0,9.86,3.06,2.04,2.04,2.38,1.02,0.34,3.74,0,2.72,0.68,1.02,0.34,0,0.68,0,10.2,3.06,1.7,5.44,1.02,0.68,1.02,7.48,1.02,9.86,2.72,3.4,4.42,2.38,0.34,1.02,0.68,0,0.34,0.34,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,reliable,50,0,1,21.86690382,4527.576974,1,0,0.009939091,0.079512729,0.10623784,0.000220869,481,45,361,0,39.11876114,url usr would five year old version look think ew gat brain freze ew url mencrushmonday url got done watching amazing spider man 2 little brothers loved usr usr usr pretty much url lyyyyyfe url stuck head url since sochi olympics mcm url enter macbarbie07giveaway enter macbarbie07giveaway fuuuuuuuuuuuuccckkkk took nap contacts _ usr usr askblessthefall total forever alone pictures elliot taken usr askblessthefall whats total forever alone pictures elliot taken wtf 110 degrees today sooo uh two kids left right tryna slick pick nose pssssh see tryna pick flick o_o usr url usr girl eyebrows nowadays look like nike signs ahahaha dead congratulations usr usr exciting congrats lt 3 shut really annoying __ usr url peace drinking water watchin usr sw melbourne video part wearing austin short made choke water ahaha usr sniffed marker recess faded bent merked usr lmao middle schoolers thinkin cool n shit usr person addicted heroin usr usr started bottom believe still currently sitting bottom ahahahhahaha usr talking someone hold conversation people wonder txt __ ur ig name sometimes little bit mcr make day better ü usr lmao dead url usr take anger gt usr people cough sneeze without even covering mouth shit nasty gt lt usr check behind scenes video bulls n bronx usr url yeeesss dead usr url usr entire dictionary written dick want put words mouth ahahahahha mom fan usr usr great see power web music fans good cause kellinmeetmarie url usr usr 13 year olds trying hot go play sandbox something ahahahhaha usr procrastinating know clap hands clap clap usr someone step shoes sound like usr p usr awkward moment sarcasm work text suuuper awkward _ love usr usr url story life usr current mood need money buy band merch duuuhh ugh school needs hurry end 4 weeks summer teachers hitting students shit usr happy birthday hope good one usr,280,0.12465374,0.582120582,304,89.63,64.14,10.54,50.32,304,20.72,60.2,5.92,1.64,0.33,0,0,0.33,0,0,1.32,0,1.64,1.64,1.32,0,0.33,12.83,4.93,1.97,0,3.29,1.97,9.54,5.26,3.95,0.66,2.3,0.66,6.91,0.66,0.33,0.66,0.66,10.2,1.32,1.97,1.64,3.29,1.64,0.99,6.58,3.29,1.64,0.99,7.24,4.28,1.32,0.33,0.99,7.24,1.64,0.99,1.64,3.29,0,3.29,8.88,0.33,12.83,1.64,4.28,6.91,1.97,2.3,0,0.66,0,0.99,5.59,2.3,3.29,0.33,0.66,0,2.3,0,0,0,0,0,0,0,0,0,0,2.3
66,reliable,50,0.02,0.98,41.46247567,4319.181302,1,0,0.007640337,0.057418289,0.047694224,0.000231525,206,34,249,0,17.56775701,way maker thank url usr please error kwese gottaz competition contact please kindly treat urgent usr work appreciated please error scoring kwese gottaz competition contact urgent pls usr tried sending credit using platform credit delivered transaction 42556 usr rock defeated stone cold steve austin 1999 wrestlemania kwesehomerun usr golfer given 5 minutes look missing ball deemed lost kwesefreesports usr golfer given 5 minutes look missing ball deemed lost kwesefreesports successful entrepreneur need books usr usr usr usr url still remembered heart usr usr usr url bbc sport rio paralympics 2016 iranian para cyclist dies following crash url best luck teamghana go make ghana proud gha openingceremony url go gold ghana gha rio2016 openingceremony eid mubarak muslims may favour allah upon may soul r p url cdc first diagnosed case ebola u url u ready strike isis syria military officials say url bbc news ebola spreads nigeria oil hub port harcourt url url machine power url long hamas continue using innocent souls human shields url youth best time rich best time poor euripides url visit library dr kwame nkrumah nkroful birth place url new u marine corps vehicle getting stuff like troops tanks trucks ships shore back url switzerland peacefulbutarmed fact small stable country highest firearm ownership rate europe url usr r u go gold black stars ghana way say ghana comes face face usa 22 00hrs url chelsea ready offer fabregas 200 000 week deal move stamford bridge via usr provisional squard akwesi aappiah ghana star africa time around world cup,168,0.136546185,0.815533981,251,90.74,71.16,16.43,98.31,251,23.51,54.98,5.18,1.99,1.59,0,0,1.59,0,0,0.4,0,1.59,0.8,1.2,0,0,11.55,3.98,1.99,0,4.38,0,10.36,7.97,2.39,0,0,1.59,3.98,0,0.8,0,0,4.78,1.2,1.59,0.4,1.2,0.4,0,2.79,1.2,0.8,0.4,2.39,1.2,1.2,0,0,10.76,0.8,5.58,5.98,2.79,0,2.39,5.98,0.8,14.34,3.59,5.98,5.18,4.38,3.59,0,1.99,1.59,0.4,2.79,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,reliable,50,0.08,0.92,19.2832294,4153.488293,0,0,0.001444569,0.004092945,0.091970886,0,382,6,17,0,33.89158969,ppt url eye eye make whole world blind end sars url beekich okay url beekich okay url never pick fight ugly person got nothing lose never put tomorrow today okay let would move world first move socrates hey guys free personal makeup training course would teach makeup like pro url via usr productivity improving technologies economic history dedicate som ur lyf others ur dedicatn b exhilarating experience bcoz intense effort applied toward meaningful end intentns stayin 4 chelsea ever ever think lye lye bed bed lie lie detector make dem use lie detector make call wife make com beg mama den tell mama beg wife make call mama wife togeda ask dem yeah still watching nigeria see u url happy new month let tell copy style url show time url u anybody hungry 4 kay man good url man u 0 3 everton take bottom break bench 4 remedial united 4uk take bottom break bench url see muhammadu buhari biography head state nigeria url via usr hello wetin dey man must grab somtin night reach dem must sleep bed oooo man woman must dey one bed bcos e con reach night wey man grab somtin go turn arnd woman go te man woman must dey 1 bed case dem nack apako buhari explains perjury says attended government college lists yar adua classmate pointblank news url love mens dey chet like crse cc 02145774801 042746086692 url men jeans blue check blackberry messenger find url check games find url photo tonto dikeh back movie scene selling tomatoes url via usr giveup god strenght url url god protects people kwara state polytechnic 2014 2015 post utme cut mark registration exam date url usr every go see akposjokes daily stupid questions url men world,321,0.352941176,0.840314136,290,85.39,92.12,11.5,44.73,290,16.55,60.69,9.66,2.41,1.72,0,0,1.72,0,0,0.69,0,2.07,2.76,2.07,0,1.03,15.52,3.45,1.38,0,4.48,0.69,4.83,2.76,1.72,0,1.03,0.34,13.79,2.07,1.03,3.1,3.45,10,2.07,3.1,2.07,0.69,3.45,0.34,4.83,3.45,0.34,0.69,2.41,1.38,0.34,0,0.34,7.93,2.07,1.38,2.76,1.38,0.69,0.69,9.66,0.34,13.45,2.76,3.45,6.55,3.45,0.69,2.07,1.03,1.03,0,4.48,0,2.76,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,reliable,50,0.1,0.9,0.000607285,4151.298826,2,1,0.10984514,0.000240888,0.068894101,0.000481777,286,456,1,0,25.38667315,opinion russian meddling gave us year world cup new york times url white house analysis finds tariffs hurt growth officials insist otherwise url zte chinese sanctions breaker trump seeking help url horrendous heartache migrant boy taken father url former fox news analyst calls network destructive propaganda machine url free pass kill migratory birds url ankara accused fetullah terrorist organization feto u based leader orchestrating coup attempt soldiers arrived greece thrace region aboard stolen military helicopter hours defeated coup july 15 2016 left 250 people martyred nearly 2 200 injured late may greek council state granted asylum ex turkish soldier suleyman ozkaynakci ankara accuses involvement coup bid january greek supreme court ruled extraditing former soldiers move turkey called politically motivated turkey repeatedly called extradition suspected coup plotters including president recep tayyip erdogan official visit greece last december usr said action regarding greece taken keeping mind recent court decisions readmission protocol greece turkey signed 2002 combat illegal migration migrant deal eu effect bilateral readmission deal greece suspended deal addressing news conference turkey southern province antalya cavusoglu said government greece wants solve issue clearly see great pressure west suspension came greek authorities refused extradite ex turkish soldiers took part failed coup bid 2016 ankara suspended bilateral migrant readmission deal greece foreign minister mevlut cavusoglu announced thursday according news service drones belonging turkish military also regularly flying missions aegean sea frigate gunboats patrol aegean sea 24 7 sat commandos stand ready act needed tensions two nato allies escalate turkish navy ordered one frigate two gunboats units water attack team sat alert aegean sea prevent possible provocative actions greece state run anadolu agency reported matter duty find soldiers links fethullahist terrorist organization fetö bring back turkey regardless go bozdağ said june 4 greek defense minister panos kammenos said june 6 planned brief counterparts meeting nato defense ministers scheduled june 7 earlier remarks made bozdağ regarding eight army officers greek daily kathimerini reported soldiers arrived greece thrace region aboard military helicopter hours botched putsch turkey repeatedly called extradition suspected coup plotters including president recep tayyip erdogan official visit greece last december january greek supreme court ruled extraditing former soldiers move turkey called politically motivated continue fight terrorism turkey noted greece stance issue said bozbağ added greece decision hand would prevent turkey fight terrorist group said international law demands greece hand soldiers turkey turkey remains disturbed greece approach contrary neighborhood law international law two countries bozdağ said june 7 deputy prime minister bekir bozdağ also voiced ankara anger athens refusal extradite former servicemen accused coup links case move turkey spark legal confusion future turkey eu agreement however also argue turkey migrant deal eu bilateral agreement greece two separate mechanisms therefore halting latter effect implementation former given fact turkey eu could accomplish readmission agreement return visa liberalization turkish nationals due differences definition terrorism deal says every syrian migrant sent back turkey greek islands one syrian turkey resettled eu agreement greece constitutes legal backbone migrant deal turkey eu brokered march 18 2016 aiming stem flow irregular migrants turkey greek islands greece immense pressure west particularly judiciary added underlining greek government sincerely favor resolution problem statement response question whether ankara considering sanctions greece following release soldiers unacceptable minister said migrant deal eu implemented bilateral readmission deal greece suspended agreement process fully works towards greece continue çavuşoğlu told reporters antalya turkey suspended bilateral migrant readmission deal greece response decision greek court release eight former turkish soldiers fled country day july 2016 coup attempt foreign minister mevlüt çavuşoğlu said june 6 turkey lira rose sharply country central bank raised rates third time less two months url via usr turkey halts migrant admission deal greece usr url trump brag sensitive information fundraiser url via usr new cambridge analytica revelations connect trump russia dots url via usr matthews trump get new pardon power url via usr trump history like drunk history smart url via usr poll shows gop given touting unpopular tax plan url via usr nbc news exclusive weinstein accuser melissa thompson speaks url via usr desperate search loved ones guatemala volcano eruption url via usr designer kate spade death sparks national conversation suicide url via usr remote u base high alert potential north korean nuclear attack url via usr four arizona police officers leave punching unarmed man url via usr trump commutes sentence alice johnson kim kardashian meeting url via usr haunting regrets things done research finds url via usr mindy kaling ocean 8 baby possible office reunion url via usr police chase armored vehicle stolen virginia military base url via usr miracle workers nurse loves ambush makeover url via usr samantha bee apology ivanka trump enough megyn kelly roundtable url via usr cmt music awards donnadorable meets country music stars url via usr police department bids final farewell beloved k 9 url via usr best looks cmt music awards red carpet url via usr james clapper fired trump adviser flynn became angry man url via usr tom petty former home made rock star back url via usr prep next bbq 2 quick easy hacks url via usr watch monkey steal apple hotel balcony url via usr giuliani respect stormy daniels woman porn star url via usr kate spade death shines light pressures female ceo url via usr suicides shake cabbie community ride hailing companies take url via usr nyc doctor cause patient deaths holy trinity pills url via usr arizona veterans group finds homeless camp fuels new pizzagate style conspiracy url via usr may hottest record u since 1934 url via usr opinion dr esther choo doctors must confront dark history gave rise modern medicine url via usr pride30 meet educators redefining students learn lgbtq issues url via usr climate change killed aliens might kill us new simulation suggests url via usr pizza delivery man turned immigration authorities stop nyc army base url via usr mars rover curiosity new findings hailed breakthroughs astrobiology url via usr trump think prepare much nuclear summit url via usr poll dems gop say country would better elected women url via usr 9 things morning make whole day productive url taliban leaders meet consider afghan government cease fire offer url via usr actress maggie siff opens kinky billions character url via usr putin dismisses idea russia meddled u elections total nonsense url via usr watch america got talent usr url watch american ninja warrior usr url watch saturday night live usr url watch nbc nightly news usr url watch dateline nbc usr url watch tonight show starring jimmy fallon usr url watch law amp order special victims unit usr url watch world dance usr url watch today usr url watch late night seth meyers usr url watch megyn kelly today usr url watch today kathie lee amp hoda usr url watch days lives usr url watch chicago p usr url watch meet press usr url watch last call carson daly usr url watch reverie usr url watch taken usr url watch brooklyn nine nine usr url watch voice usr url watch er usr url aysegul aydadal usr url,183,456,0.63986014,1162,94.17,73.51,29.76,12.18,1162,32.79,51.38,6.71,0.69,0.52,0,0.17,0.34,0,0,0.17,0,4.04,0.69,1.12,0.52,0,7.06,3.96,1.29,0.09,3.18,0.86,5.16,2.07,3.1,1.03,1.12,0.26,6.2,0.17,0.17,0.26,0.43,6.37,2.93,1.38,0.77,0.95,0.52,0.43,4.91,2.67,1.64,0.6,1.72,0.26,0.77,0.17,0.52,11.36,1.64,1.72,7.14,1.38,0.77,4.04,5.08,0.77,15.23,2.67,6.28,6.54,5.16,0.86,0.43,0.52,0.69,0.69,0.69,0,0.43,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
69,reliable,50,0.18,0.82,10.1037252,4146.103409,2,0,0.013747848,0.263862208,0.086346134,0.000482381,358,56,1095,0,31.81641101,voice justice moral compass inspirational leader let us honor lifelong work fight keep democracy intact watch yes thank rep elijahcummings check balance usr judge orders trump administration remove 2020 census citizenship question url usr usr asks important questions want need answers well done mvp jim thank members freepress demstakethehouse persist something finally worth celebrating congratulations usr alex cora yes let share puerto rico url great exchange activating electorate facts information inspiration ideas gotv 2018 thank usr usr usr url making world better place two usr usr friends years nieman fellows forever nieman80 url journalists truth tellers torch bearers today discussions nieman80 confirmed thanks usr another inspiring day url sort double negative wtf get stupid spin failure facts usr job factsmatter damn contractions get ya every time would v jk niece would say seconds 27 hrs later misspoke treason food lens way see world words ruth reichl gifted human compassionate anthonybourdain thank chef listening powerful words usr bostonuniversity 2018 grads stand speak bold truth power 1 usr truth power 2 usr thank url chris lu tonight usr tone ethics set top thank usr note usr msnbc sector innocent victim doubted nonprofit workers filed nearly 1 200 harassment claims federal government url via usr metoo timesup right rep kennedy iii democratic response stateofourunion resist trumpshutdown theresistance womenmarch2018 url era authoritarian impulse reasserting senator flake defending free press live usr resist statement share strength billy shore new state level medicaid work requirements url via usr wbur poll 21 percent mass voters say sexually harassed work url via usr one 37 metoo timesup nobody ever say yea usr timesup speaking truth powerful tool thank usr goldenglobes recytaylor timesup metoo purpose significance viola davis spirit energy felt goldenglobes timesup marijuana finally allowed sexual harassment seth meyers 2108 important start metoo timesupnow wearblack standing speaking watching solidarity url stronger together standing w usr grateful solidarity women across industries timesup goptaxscam passed waiting famous cake go whopping side lies touching story thank sharing usr watch usr another usr gem url terrible tough year usr thank voice actions leadership true url let talk nice guy sexual harassers url via usr get thee puerto rico air force uno melania deck thanks usr lovin snlpremiere url usr decision complaint flight 1360 lax bos 9 15 1 8 rows displaced rear plane bc low passenger nothing dangerous url via usr case 45 usr lack action tells charlottesville resist url third time charm never reprehensibly little disgustingly late failure every level usr charlotesville presidential incoherence tip iceberg true thank usr need stay loud remain vocal demand action acquitted disgusting violence racism amp systemic abuse police power must end blacklivesmatter philandocastile tangled web weave first practice deceive sir walter scott circa 1800 apropos circa sessionshearing agenda share reminder amp flashback civil rights rev dr king jr scott king 1986 letter justice equality beauty staying vigilant bostonpride2017 loveislove resist url would ask man pledge allegiance oath usr answering questions questions pressconference stay watchful url thank leadership usr heard usr story remarkable inspiring voice important empowers amp galvanizes heading city passing vip buses driving elites starting line bostonmarathon2017 bostonstrong nice pace usr supporting real news amp finest journalism 24 7 go wbur sudden poof scandal dated amp boring life stranger fiction resist heard news brilliant gifted poet derek walcott left us poem like words fills nobelprize url visit winchester public market support artisan baker delicious bread url via usr preexisting conditions check one left good drug price regulation okay far better care really show us usr fair trade light term fair trade opportunity access benefit workers know thy history usr usr right usr several hispanic dems denied entry meeting ice url shout usr open amp donating today sales aclu amp lulac boston brilliant resist congress job url 1 10 flynn gop far worse action investigateflynn usr usr veryvery good chemistry presidential language pm abe reality show contestant resist state wa wins court rules travel ban loss republicans win american values resist noban shepersists shepersisted usr usr thank url another disgruntled globe delivery customer 48hr wait live chat complaint reviewed usr thank usr amp usr brave voices needed vitriolic times deserve belong weaccept word salad bad national health usr know thy history tell blackhistorymonth resist thank usr honoring activist fred usr today noban stayinformed resist leadership voice need tripadvisor condemns executive order url power people thank usr stay granted stay national nobannowall resist refugeeswelcome going voter fraud horrible let research peer review usr usr resist globalgag rule back women developing countries repro rights danger scientists silenced act 570 557 usr good really usr psst tell anyone yuger pres obama marched sisterhood solidarity amp peace boston massachusetts proud boswomensmarch womensmarch url women marching washington url via usr upon time liked usr ok normalize bigoted misogynistic ways wow ode obama url perfect says thank usr needed salve inspiration action must follow move beautiful message thank usr usr 8 400 stayed well played usr audience members walk amy schumer trump criticisms url know con see one michael bloomberg ha hypocrisy rich usr know people know brilliant informed important voice practitioner eye expertise angelina jolie amp lse url usr informed intellectual smart individuals know cool know talking url nurturers society connect people amp resources change want see world darian rodriguez heyman afp struggle justice marathon sprint endless brilliance amp inspiration thank usr afpihq afpfc thank usr information packed afpfc session humming tune ready harvest rubber trees fantastic way set afpfc stage inspire us always honor privilege usr thank url sign petition tell usr usr stop boosting trump coverage profits url p2 international women day remember women dare choose path url simply stunning thank usr forever yes perfect gift usr url good news worthy rt senate confirms gayle e smith head u url world aids day devoted global aids epidemic make statement make gift url givingtuesday worldaidsday thank usr message today usr engagement involvement matters reproductive rights hr2fp 2013 planned parenthood served 2 7mil women men amp young people standwithpp url family planning funding risk need know url lovewins url,264,0.051141553,0.737430168,999,89.87,81.08,12.56,99,999,31.23,59.16,4.9,1.5,0.9,0,0.4,0.5,0,0,0.6,0,1,1,1.1,0.1,0.4,12.01,4.2,0.9,0,4.5,0.9,14.21,10.81,3.3,0.4,1,0.4,8.71,0.4,0.3,1,0.7,8.21,3.2,1.1,1.4,0.9,2,0.2,3.9,1.3,2.1,0.4,2.1,0.2,1,0.5,0.6,13.71,2.1,3.3,7.71,2,1.3,1.6,9.41,0.4,12.11,2.9,4.9,4.7,4.1,0.7,0.2,1.4,0.2,0.1,1.7,0.2,0.8,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
70,reliable,42,0.047619048,0.952380952,42.55862664,4104.028721,5,0,0.015838096,0.036062126,0.047026961,0.001218315,193,65,149,0,17.3296433,wait baby boy discovered jame madison 2013 blockbuster avatar elaborate exploration finding one true catboy identity finding legitimacy catboy community touching catboy tails,40,0.436241611,0.207253886,23,,90.38,80.16,93.61,23,47.83,56.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,8.7,0,4.35,4.35,0,0,0,0,13.04,4.35,0,0,4.35,21.74,17.39,0,0,0,4.35,0,4.35,0,0,4.35,0,0,0,0,0,4.35,4.35,0,0,0,0,0,4.35,0,8.7,4.35,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,reliable,50,0.16,0.84,56.57254323,4099.691152,0,0,0.001951367,0.016830536,0.03000226,0,123,8,69,0,11.05788177,social network 2 reconsidering graduate school japan ｇｏ ａｗａｙ avengers4 trailer url thomas sangster wallpapers url marvel give bucky barnes movie sign petition url usr love captain america 2 winter soldier want watch winter soldier 2 captain america perhaps 2020 marvel prayforlasvegas winter olympics coming u olympic hopefuls take throne url ice skater karen chen living dream kristi yamaguchi url patrickchan url url hello valentine day usr 楷雯 妳在中國也有了好多冰迷了哦 weibo上都有冰迷會了 satoko url usr happy birthday people highly grateful try remain calm light even stressful situation hospital well way recovery intense pain hard 你好 twitter 我的第一条推文,99,0.115942029,0.804878049,95,88.4,80,1.2,82.36,95,34.74,50.53,4.21,1.05,1.05,0,0,1.05,0,0,0,0,0,0,3.16,0,0,6.32,3.16,0,0,5.26,0,7.37,5.26,2.11,1.05,0,0,7.37,0,1.05,0,0,4.21,1.05,0,1.05,2.11,0,0,4.21,2.11,0,2.11,4.21,0,3.16,0,0,13.68,5.26,2.11,5.26,1.05,0,0,5.26,1.05,7.37,1.05,1.05,5.26,2.11,4.21,0,0,0,0,3.16,0,2.11,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
72,reliable,50,0.06,0.94,44.94170044,3978.05474,0,0,0.026143431,0.185517809,0.099043383,0,394,103,738,0,36.50926631,usr drop everything else lovealarmseason2 lovealarmnetflix people want season 2 lovealarm url tieless usr killed even though barely got questions speaking time bernie choice go andrew yanggang democraticdebate2019 usr done good tonight yanggang2020 bernie going next president bernie2020 country belongs us bernie2020 bernieinpasadena notmeus gonna win thing url danny devito love fucking life bernie2020 bernieinpasadena url bernie2020 bernieinpasadena url stop citizen go prison stripping away civil liberties help anyone usr shy away clearly intentionally inflammatory question respect ever bernietownhall sb 54 protect murderers rapists know people getting idea illegal immigrants running around getting away murder true want local law enforcement jobs federal agents daydream setting office fire actually happens usr hero labor talks heat disney theme park workers coasts url via usr spent morning listening local 11 workers stories working disney resorts disney many things worker certainly happiest place earth networking events people say good see never seen life also one network 9 thereoughttobealaw today received letter young girl father arrested immigration officers says want daddy sent mexico killed like cousins usr little girl worry seagull url via usr via usr yourenevergonnamakeitdeweycox url hey california forget watch jerry brown last state state url overheard pub tiny english village elderly lady calling man cheeky true pretentious ever tell time studied abroad fashion calling everyone la back via usr url things getting rowdy ecsummit26 nobody better roasts politicians trying burn step back kardashians know drama boy john chiang johnchiangforgovernor johnchiang2018 url dozen predictions 2018 bet bitcoin url via usr blizzard descends white house via usr fireandfury url happy 2018 sf url sick people non standard sized business cards know cards go immediately waste basket literally never wanted live ny url today went education briefing rancho cucamonga took hike meetings etiwanda falls holiday mixer irwindale omw dtla new chinese cg reception literally 2 days job except consistent traffic repealing net neutrality help spur innovation announces face ajit pai blaring every computer screen nation url via usr peter roskam talking american people wanting kindled cajoled cul de sac envy onto highway opportunity constituents done casework remember suckkkerrrrrr calls anyone sends work emails put fucking contact info signature mad quarterly monthly publication months send copies months send two anyway president url url waiting iiiitttttttt usr url king country url faced decisions sit stare wall options run confidence much gusto whatever left available thanks senators wish local bars would play cspan big votes like would play sports channels game,335,0.139566396,0.850253807,403,87.69,83.96,36.04,53.78,403,34,64.52,10.67,2.48,0.25,0,0.25,0,0,0,2.23,0,3.72,0.99,3.72,0.5,0.74,13.65,4.22,0.99,0.25,4.96,0.74,7.44,4.47,2.98,0.5,2.23,0,11.91,0.74,0.25,0.74,1.24,10.17,2.48,0.25,1.99,1.99,2.98,0.99,3.47,1.74,1.24,0.5,2.98,0.5,1.24,0.74,0.25,9.68,1.74,2.48,4.71,2.98,0.5,2.98,6.95,1.24,17.37,4.71,6.95,6.45,4.71,3.23,0.25,0.99,0,0.99,1.24,0.5,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
73,reliable,50,0.08,0.92,41.04995252,3931.222228,0,0,0.004324355,0.024928634,0.081145247,0,319,17,97,0,29.91649538,usr please ask ford recently last 2 years imposed tax americans summer cottages canada screwing americans places generations 1m places either call uht underutilized housing tax usr worst management ever 2 lanes bridge open summer weekend pathetic planning handling traffic years fire brey local natural gas distribution system emissions continue decline american gas association url good description things consider renewable energy url nd time urban nfd climate change collapse exposing green failure fraud deception url via usr fire brandon buffalo based company built owns operates nearly 10 000 miles pipeline new york state url roll ramblers told climate change url via youtube,303,0.175257732,0.94984326,102,92.3,57.77,66.34,12.71,102,37.25,54.9,4.9,0.98,0,0,0,0,0,0,0.98,0,1.96,0,1.96,0,0,4.9,7.84,2.94,0,4.9,0.98,6.86,2.94,3.92,0,0.98,1.96,3.92,0,0,0,0,6.86,0.98,2.94,0,0.98,0.98,0.98,2.94,0.98,0,1.96,1.96,0,0.98,0.98,0,6.86,0.98,1.96,2.94,0.98,1.96,0.98,3.92,0.98,21.57,2.94,6.86,11.76,6.86,1.96,0.98,1.96,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,reliable,50,0.02,0.98,1.613857001,3779.452043,0,0,0.006085538,0.044980065,0.110068866,0,417,23,170,0,40.69652406,ghulja url via usr newprofilepic url url url also focused situation xinjiang especially expansion political education camps discussed detention human rights defenders including particular cases eu china speech hr vp url url,408,0.135294118,0.978417266,32,89.84,73.4,1,1.42,32,40.63,40.63,12.5,0,0,0,0,0,0,0,0,0,6.25,0,6.25,3.13,0,3.13,6.25,3.13,0,0,0,3.13,0,3.13,0,0,0,6.25,0,0,0,0,3.13,0,0,0,0,3.13,0,3.13,0,3.13,0,0,0,0,0,0,12.5,0,0,9.38,0,3.13,0,0,0,3.13,0,3.13,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
